Month,Date,Hour,Minute,temp_avg,light_avg,humidity_avg,latitude,longitude,Result
12,15,10,30,17.7,4.6,63.4,-37.8199043,144.9404851,Does not need irrigation
12,15,10,35,17.1,7.7,63,-37.8203537,144.9404816,Does not need irrigation
12,15,10,40,17.7,4.4,64.1,-37.8199043,144.9404851,Does not need irrigation
12,15,10,45,17.1,7.2,62.3,-37.8203537,144.9404816,Does not need irrigation
12,15,10,50,17.7,4.6,63.6,-37.8199043,144.9404851,Does not need irrigation
12,15,10,55,17.1,7.3,62.8,-37.8203537,144.9404816,Does not need irrigation
12,15,11,0,18.1,4.5,63,-37.8199043,144.9404851,Does not need irrigation
12,15,11,5,17.1,7,63,-37.8203537,144.9404816,Does not need irrigation
12,15,11,5,17.7,13.1,57,-37.8195002,144.9418888,Does not need irrigation
12,15,11,10,17.7,4.4,63.3,-37.8199043,144.9404851,Does not need irrigation
12,15,11,15,17.7,13.5,57.4,-37.8195002,144.9418888,Does not need irrigation
12,15,11,20,17.7,4.5,63.9,-37.8199043,144.9404851,Does not need irrigation
12,15,11,25,17.1,7.4,63.4,-37.8203537,144.9404816,Does not need irrigation
12,15,11,30,17.7,4.5,64.4,-37.8199043,144.9404851,Does not need irrigation
12,15,11,35,17.4,7.1,64.1,-37.8203537,144.9404816,Does not need irrigation
12,15,11,35,17.7,13.2,57.9,-37.8195002,144.9418888,Does not need irrigation
12,15,11,40,17.7,4.5,64.9,-37.8199043,144.9404851,Does not need irrigation
12,15,11,45,17.1,7.8,63.9,-37.8203537,144.9404816,Does not need irrigation
12,15,11,55,17.7,4.5,64.1,-37.8199043,144.9404851,Does not need irrigation
12,15,11,55,17.1,7.1,63.4,-37.8203537,144.9404816,Does not need irrigation
12,15,12,0,17.4,12.2,58.5,-37.8195002,144.9418888,Does not need irrigation
12,15,12,5,17.7,4.6,64.4,-37.8199043,144.9404851,Does not need irrigation
12,15,12,5,17.1,7,64.4,-37.8203537,144.9404816,Does not need irrigation
12,15,12,15,17.7,4.7,64.5,-37.8199043,144.9404851,Does not need irrigation
12,15,12,15,17.1,7.1,64.4,-37.8203537,144.9404816,Does not need irrigation
12,15,12,25,17.7,4.7,64.7,-37.8199043,144.9404851,Does not need irrigation
12,15,12,25,17.1,7.3,64.9,-37.8203537,144.9404816,Does not need irrigation
12,15,12,30,17.7,13.1,59.5,-37.8195002,144.9418888,Does not need irrigation
12,15,12,35,17.7,4.7,64.4,-37.8199043,144.9404851,Does not need irrigation
12,15,12,35,17.4,7.4,64.4,-37.8203537,144.9404816,Does not need irrigation
12,15,12,40,17.4,12.5,59.5,-37.8195002,144.9418888,Does not need irrigation
12,15,12,45,17.7,4.7,64.9,-37.8199043,144.9404851,Does not need irrigation
12,15,12,45,17.4,7.1,64.4,-37.8203537,144.9404816,Does not need irrigation
12,15,12,50,17.7,12.5,59.5,-37.8195002,144.9418888,Does not need irrigation
12,15,12,55,18.1,4.7,65.8,-37.8199043,144.9404851,Does not need irrigation
12,15,12,55,17.4,7.4,64.1,-37.8203537,144.9404816,Does not need irrigation
12,15,13,0,17.7,12.9,59.5,-37.8195002,144.9418888,Does not need irrigation
12,15,13,5,18.1,4.6,64.9,-37.8199043,144.9404851,Does not need irrigation
12,15,13,5,17.4,7.4,64.7,-37.8203537,144.9404816,Does not need irrigation
12,15,13,10,17.7,12.7,59.6,-37.8195002,144.9418888,Does not need irrigation
12,15,13,15,17.7,4.7,64.7,-37.8199043,144.9404851,Does not need irrigation
12,15,13,20,17.4,7.5,64.5,-37.8203537,144.9404816,Does not need irrigation
12,15,13,25,18.1,4.7,65,-37.8199043,144.9404851,Does not need irrigation
12,15,13,30,17.4,7.1,64.4,-37.8203537,144.9404816,Does not need irrigation
12,15,13,35,18.1,4.8,65.2,-37.8199043,144.9404851,Does not need irrigation
12,15,13,40,17.4,7.2,65.2,-37.8203537,144.9404816,Does not need irrigation
12,15,13,40,17.7,13.3,60.1,-37.8195002,144.9418888,Does not need irrigation
12,15,13,45,17.7,4.7,65.8,-37.8199043,144.9404851,Does not need irrigation
12,15,13,50,17.7,13,60.1,-37.8195002,144.9418888,Does not need irrigation
12,15,13,55,17.7,4.8,65.6,-37.8199043,144.9404851,Does not need irrigation
12,15,14,0,17.4,7.1,65.2,-37.8203537,144.9404816,Does not need irrigation
12,15,14,0,17.7,12.9,60,-37.8195002,144.9418888,Does not need irrigation
12,15,14,5,17.7,4.8,65.2,-37.8199043,144.9404851,Does not need irrigation
12,15,14,15,17.7,4.8,65.6,-37.8199043,144.9404851,Does not need irrigation
12,15,14,20,17.4,7.3,66.1,-37.8203537,144.9404816,Does not need irrigation
12,15,14,20,17.7,13,60.4,-37.8195002,144.9418888,Does not need irrigation
12,15,14,25,17.7,4.8,66.3,-37.8199043,144.9404851,Does not need irrigation
12,15,14,30,17.1,7.1,66.1,-37.8203537,144.9404816,Does not need irrigation
12,15,14,30,17.7,13,60.8,-37.8195002,144.9418888,Does not need irrigation
12,15,14,35,17.4,4.8,66.3,-37.8199043,144.9404851,Does not need irrigation
12,15,14,40,17.1,7.3,66.9,-37.8203537,144.9404816,Does not need irrigation
12,15,14,40,17.4,13,60.9,-37.8195002,144.9418888,Does not need irrigation
12,15,14,45,17.4,4.8,66.1,-37.8199043,144.9404851,Does not need irrigation
12,15,14,50,17.4,7.2,66.4,-37.8203537,144.9404816,Does not need irrigation
12,15,14,50,17.4,13,61.7,-37.8195002,144.9418888,Does not need irrigation
12,15,14,55,17.7,4.8,66.4,-37.8199043,144.9404851,Does not need irrigation
12,15,15,0,17.4,7.2,66.7,-37.8203537,144.9404816,Does not need irrigation
12,15,15,0,17.4,13.1,61.4,-37.8195002,144.9418888,Does not need irrigation
12,15,15,10,17.7,4.8,66.3,-37.8199043,144.9404851,Does not need irrigation
12,15,15,15,17.4,13,61.7,-37.8195002,144.9418888,Does not need irrigation
12,15,15,20,17.7,4.7,66.3,-37.8199043,144.9404851,Does not need irrigation
12,15,15,25,17.7,12.9,62,-37.8195002,144.9418888,Does not need irrigation
12,15,15,30,17.7,4.6,66.4,-37.8199043,144.9404851,Does not need irrigation
12,15,15,30,17.4,7,66.9,-37.8203537,144.9404816,Does not need irrigation
12,15,15,35,17.7,13,61.7,-37.8195002,144.9418888,Does not need irrigation
12,15,15,40,17.7,4.6,66.3,-37.8199043,144.9404851,Does not need irrigation
12,15,15,40,17.4,7.1,66.4,-37.8203537,144.9404816,Does not need irrigation
12,15,15,45,17.7,12.9,61.5,-37.8195002,144.9418888,Does not need irrigation
12,15,15,50,17.7,4.4,65.8,-37.8199043,144.9404851,Does not need irrigation
12,15,15,50,17.4,6.9,65.8,-37.8203537,144.9404816,Does not need irrigation
12,15,15,55,17.4,12.6,60.3,-37.8195002,144.9418888,Does not need irrigation
12,15,16,0,17.4,4.4,66.4,-37.8199043,144.9404851,Does not need irrigation
12,15,16,5,17.4,12.7,61.2,-37.8195002,144.9418888,Does not need irrigation
12,15,16,10,17.4,7,66.7,-37.8203537,144.9404816,Does not need irrigation
12,15,16,15,17.4,12.8,60.9,-37.8195002,144.9418888,Does not need irrigation
12,15,16,20,17.7,4.3,66.3,-37.8199043,144.9404851,Does not need irrigation
12,15,16,20,17.4,6.9,65.6,-37.8203537,144.9404816,Does not need irrigation
12,15,16,25,17.4,12.3,61.1,-37.8195002,144.9418888,Does not need irrigation
12,15,16,30,17.4,4.3,66.7,-37.8199043,144.9404851,Does not need irrigation
12,15,16,35,17.4,12.2,61.7,-37.8195002,144.9418888,Does not need irrigation
12,15,16,40,17.4,4.3,66.7,-37.8199043,144.9404851,Does not need irrigation
12,15,16,45,17.1,12.3,60.9,-37.8195002,144.9418888,Does not need irrigation
12,15,16,50,17.4,4.4,66.4,-37.8199043,144.9404851,Does not need irrigation
12,15,16,55,17.1,6.8,66.3,-37.8203537,144.9404816,Does not need irrigation
12,15,16,55,17.1,12.3,60.9,-37.8195002,144.9418888,Does not need irrigation
12,15,17,0,17.1,4.4,65.2,-37.8199043,144.9404851,Does not need irrigation
12,15,17,5,16.8,6.8,64.7,-37.8203537,144.9404816,Does not need irrigation
12,15,17,5,17.1,12.8,60.1,-37.8195002,144.9418888,Does not need irrigation
12,15,17,10,17.1,4.4,65,-37.8199043,144.9404851,Does not need irrigation
12,15,17,15,16.5,6.9,64.9,-37.8203537,144.9404816,Does not need irrigation
12,15,17,15,16.5,12.4,60.3,-37.8195002,144.9418888,Does not need irrigation
